data_name,price,links,index_,discount_list,discount_percent,Gift_list,RAM_SSD,Evaluate_list,Evaluate_count_list
Acer Aspire 5 A515 58M 56YX i5 13420H (NX.KQ8SV.005),14.990.000₫,https://www.thegioididong.com/laptop/acer-aspire-5-a515-58m-56yx-i5-nxkq8sv005,58,17.490.000₫,-14%,1.090.000₫,RAM 16 GB SSD 512 GB,,
HP Pavilion X360 14 ek2024TU Core 5 120U (9Z2V6PA),23.690.000₫,https://www.thegioididong.com/laptop/hp-pavilion-x360-14-ek2024tu-core-5-9z2v6pa,59,24.990.000₫,-5%,1.190.000₫,RAM 16 GB SSD 512 GB,,
MSI Gaming Bravo 15 B7ED R5 7535HS (010VN),16.490.000₫,https://www.thegioididong.com/laptop/msi-bravo-15-b7ed-r5-010vn,60,18.490.000₫,-10%,1.090.000₫,RAM 16 GB SSD 512 GB,3.7,10 đánh giá
Lenovo V14 G4 i7 1355U (83A00012VN),18.990.000₫,https://www.thegioididong.com/laptop/lenovo-thinkpad-v14-i7-83a00012vn,61,19.990.000₫,-5%,1.190.000₫,RAM 16 GB SSD 512 GB,,
Dell Vostro 15 3520 i5 1235U (5M2TT2),15.490.000₫,https://www.thegioididong.com/laptop/dell-vostro-15-3520-i5-5m2tt2,62,,,100.000₫,RAM 8 GB SSD 512 GB,3.9,19 đánh giá
Asus Vivobook 15 X1504ZA i5 1235U (NJ1546W),14.990.000₫,https://www.thegioididong.com/laptop/asus-vivobook-15-x1504za-i5-nj1546w,63,16.990.000₫,-11%,1.090.000₫,RAM 16 GB SSD 512 GB,,
MSI Gaming Thin 15 B12UCX i5 12450H (2046VN),16.490.000₫,https://www.thegioididong.com/laptop/msi-thin-15-b12ucx-i5-2046vn,64,18.990.000₫,-13%,990.000₫,RAM 16 GB SSD 512 GB,5,1 đánh giá
Asus TUF Gaming F15 FX507ZC4 i7 12700H (HN181W),23.490.000₫,https://www.thegioididong.com/laptop/asus-fx507zc4-i7-hn181w,65,26.990.000₫,-12%,1.090.000₫,RAM 16 GB SSD 512 GB,,
Acer Aspire 3 A315 59 5283 i5 1235U (NX.K6TSV.00B),12.990.000₫,https://www.thegioididong.com/laptop/acer-aspire-3-a315-59-5283-i5-nxk6tsv00b,66,15.990.000₫,-18%,1.090.000₫,RAM 8 GB SSD 512 GB,4.1,10 đánh giá
HP Pavilion 15 eg3091TU i7 1355U (8C5L2PA),22.490.000₫,https://www.thegioididong.com/laptop/hp-pavilion-15-eg3091tu-i7-8c5l2pa,67,25.290.000₫,-11%,1.190.000₫,RAM 16 GB SSD 512 GB,4.7,3 đánh giá
Acer Aspire 5 A515 58P 34RJ i3 1315U (NX.KHJSV.003),10.490.000₫,https://www.thegioididong.com/laptop/acer-aspire-5-a515-58p-34rj-i3-nxkhjsv003,68,13.090.000₫,-19%,1.090.000₫,RAM 8 GB SSD 512 GB,4.5,13 đánh giá
HP Pavilion 15 eg2082TU i5 1240P (7C0Q5PA),16.190.000₫,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2082tu-i5-7c0q5pa,69,19.790.000₫,-18%,1.190.000₫,RAM 8 GB SSD 512 GB,4,51 đánh giá
Lenovo Gaming LOQ 15IAX9 i5 12450HX (83GS00DBVN),21.290.000₫,https://www.thegioididong.com/laptop/lenovo-loq-15iax9-i5-83gs00dbvn,70,23.490.000₫,-9%,1.090.000₫,RAM 24 GB SSD 512 GB,,
Lenovo IdeaPad Slim 5 14IMH9 Ultra 5 125H (83DA001NVN),21.690.000₫,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-5-14imh9-ultra-5-83da001nvn,71,22.690.000₫,,1.090.000₫,RAM 16 GB SSD 512 GB,,
