product_names,links,product_price,index_,price_old_dix,price_old_list,discount_dix,discount_list,discount_dix_Student,discount_list_Student,Brand
Laptop ASUS Zenbook 14 Oled UX3405MA-PP151W,https://cellphones.com.vn/laptop-asus-zenbook-14-oled-ux3405ma-pp151w.html,26.190.000đ,46,46.0,28.990.000đ,46.0,Giảm 10%,46.0,800.000đ,Laptop ASUS
Laptop Dell Inspiron 15 3520 6HD73,https://cellphones.com.vn/laptop-dell-inspiron-15-3520-6hd73.html,17.990.000đ,47,47.0,19.990.000đ,47.0,Giảm 10%,47.0,720.000đ,Laptop Dell
Laptop Acer Aspire 7 A715-76G-59MW,https://cellphones.com.vn/laptop-acer-aspire-7-a715-76g-59mw.html,15.690.000đ,48,48.0,21.490.000đ,48.0,Giảm 27%,48.0,628.000đ,Laptop Acer
Laptop MSI Modern 15 B7M-238VN,https://cellphones.com.vn/laptop-msi-modern-15-b7m-238vn.html,12.990.000đ,49,49.0,16.990.000đ,49.0,Giảm 24%,49.0,520.000đ,Laptop MSI
Laptop Gaming Acer Nitro 5 Tiger AN515 58 773Y,https://cellphones.com.vn/laptop-gaming-acer-nitro-5-tiger-an515-58-773y.html,23.290.000đ,50,50.0,25.990.000đ,50.0,Giảm 10%,50.0,800.000đ,Laptop Gaming
Laptop MSI Gaming Thin 15 B12UCX-1419VN,https://cellphones.com.vn/laptop-msi-gaming-thin-15-b12ucx-1419vn.html,15.490.000đ,51,51.0,17.990.000đ,51.0,Giảm 14%,51.0,620.000đ,Laptop MSI
Apple MacBook Air M2 2022 16GB 512GB I Chính hãng Apple Việt Nam,https://cellphones.com.vn/macbook-air-m2-2022-16gb-512gb.html,33.690.000đ,52,52.0,34.990.000đ,52.0,Giảm 4%,52.0,500.000đ,Apple MacBook
Laptop Dell Vostro 3520 F0V0VI3 - Nhập khẩu chính hãng,https://cellphones.com.vn/laptop-dell-vostro-3520-f0v0vi3.html,9.690.000đ,53,53.0,11.990.000đ,53.0,Giảm 19%,53.0,388.000đ,Laptop Dell
Laptop ASUS Vivobook 15 X1504ZA-NJ582W,https://cellphones.com.vn/laptop-asus-vivobook-15-x1504za-nj582w.html,10.190.000đ,54,54.0,12.990.000đ,54.0,Giảm 22%,54.0,408.000đ,Laptop ASUS
Laptop ASUS Vivobook 16 M1605YA-MB303W,https://cellphones.com.vn/laptop-asus-vivobook-16-m1605ya-mb303w.html,14.690.000đ,55,55.0,18.490.000đ,55.0,Giảm 21%,55.0,588.000đ,Laptop ASUS
Laptop MSI Gaming Thin 15 B13UC-2081VN,https://cellphones.com.vn/laptop-msi-gaming-thin-15-b13uc-2081vn.html,18.490.000đ,56,56.0,21.990.000đ,56.0,Giảm 16%,56.0,740.000đ,Laptop MSI
Laptop MSI Modern 15 B12MO-487VN,https://cellphones.com.vn/laptop-msi-modern-15-b12mo-487vn.html,14.990.000đ,57,57.0,19.490.000đ,57.0,Giảm 23%,57.0,600.000đ,Laptop MSI
Laptop ASUS Vivobook GO 15 E1504FA-NJ454W,https://cellphones.com.vn/laptop-asus-vivobook-go-15-e1504fa-nj454w.html,12.490.000đ,58,58.0,14.490.000đ,58.0,Giảm 14%,58.0,500.000đ,Laptop ASUS
Laptop Lenovo LOQ 15ARP9 83JC007HVN,https://cellphones.com.vn/laptop-lenovo-loq-15arp9-83jc007hvn.html,21.390.000đ,59,59.0,23.490.000đ,59.0,Giảm 9%,59.0,800.000đ,Laptop Lenovo
MacBook Pro 14 M3 8GB - 512GB | Chính hãng Apple Việt Nam,https://cellphones.com.vn/macbook-pro-14-inch-m3-2023-8gb-512gb.html,38.090.000đ,60,60.0,39.990.000đ,60.0,Giảm 5%,60.0,500.000đ,MacBook Pro
Laptop HP Pavilion 15-EG2088TU 7C0R0PA,https://cellphones.com.vn/laptop-hp-pavilion-15-eg2088tu-7c0r0pa.html,19.490.000đ,61,61.0,25.290.000đ,61.0,Giảm 23%,61.0,780.000đ,Laptop HP
Laptop Acer Gaming Aspire 5 A515-58GM-53PZ,https://cellphones.com.vn/laptop-acer-gaming-aspire-5-a515-58gm-53pz.html,15.690.000đ,62,62.0,20.490.000đ,62.0,Giảm 23%,62.0,628.000đ,Laptop Acer
Laptop Lenovo ThinkBook 16 G6 IRL 21KH00Q0VN,https://cellphones.com.vn/laptop-lenovo-thinkbook-16-g6-irl-21kh00q0vn.html,18.490.000đ,63,63.0,20.490.000đ,63.0,Giảm 10%,63.0,740.000đ,Laptop Lenovo
Laptop Lenovo ThinkPad E14 GEN 5 21JK00H5VN,https://cellphones.com.vn/laptop-lenovo-thinkpad-e14-gen-5-21jk00h5vn.html,19.990.000đ,64,64.0,22.990.000đ,64.0,Giảm 13%,64.0,800.000đ,Laptop Lenovo
Laptop ASUS Zenbook 14 OLED UX3405MA-PP588W,https://cellphones.com.vn/laptop-asus-zenbook-14-oled-ux3405ma-pp588w.html,26.090.000đ,65,65.0,28.990.000đ,65.0,Giảm 10%,65.0,800.000đ,Laptop ASUS
Laptop Lenovo LOQ 15IRX9 83DV00D5VN,https://cellphones.com.vn/laptop-lenovo-loq-15irx9-83dv00d5vn.html,29.690.000đ,66,66.0,31.990.000đ,66.0,Giảm 7%,66.0,800.000đ,Laptop Lenovo
Laptop ASUS Zenbook 14 OLED UX3405MA-PP152W,https://cellphones.com.vn/laptop-asus-zenbook-14-oled-ux3405ma-pp152w.html,31.190.000đ,67,67.0,34.990.000đ,67.0,Giảm 11%,67.0,800.000đ,Laptop ASUS
Laptop ASUS Vivobook 15 OLED A1505VA MA468W,https://cellphones.com.vn/laptop-asus-vivobook-15-oled-a1505va-ma468w.html,18.290.000đ,68,68.0,20.990.000đ,68.0,Giảm 13%,68.0,732.000đ,Laptop ASUS
Laptop MSI Gaming GF63 Thin 11UC-1228VN,https://cellphones.com.vn/laptop-msi-gaming-gf63-thin-11uc-1228vn.html,16.990.000đ,69,69.0,20.990.000đ,69.0,Giảm 19%,69.0,680.000đ,Laptop MSI
Laptop HP Gaming Victus 15-FB1023AX 94F20PA,https://cellphones.com.vn/laptop-hp-gaming-victus-15-fb1023ax-94f20pa.html,16.990.000đ,70,70.0,24.490.000đ,70.0,Giảm 31%,70.0,680.000đ,Laptop HP
Laptop Lenovo IdeaPad 1 14ALC7 82R30078VN,https://cellphones.com.vn/laptop-lenovo-ideapad-1-14alc7-82r30078vn.html,10.990.000đ,71,71.0,11.990.000đ,71.0,Giảm 8%,71.0,440.000đ,Laptop Lenovo
MacBook Pro 16 inch M1 Max 10 CPU - 32 GPU 32GB 1TB 2021 | Chính hãng Apple Việt Nam,https://cellphones.com.vn/macbook-pro-16-inch-2021-m1-max.html,53.990.000đ,72,72.0,92.990.000đ,72.0,Giảm 42%,72.0,500.000đ,MacBook Pro
Laptop MSI Gaming Thin GF63 12VE-454VN,https://cellphones.com.vn/laptop-msi-gaming-thin-gf63-12ve-454vn.html,18.990.000đ,73,73.0,22.990.000đ,73.0,Giảm 17%,73.0,760.000đ,Laptop MSI
Laptop ASUS VivoBook 14 OLED A1405VA-KM095W,https://cellphones.com.vn/laptop-asus-vivobook-14-oled-a1405va-km095w.html,17.390.000đ,74,74.0,20.990.000đ,74.0,Giảm 17%,74.0,696.000đ,Laptop ASUS
Laptop ASUS TUF Gaming A15 FA506NC-HN011W,https://cellphones.com.vn/laptop-asus-tuf-gaming-a15-fa506nc-hn011w.html,17.490.000đ,75,75.0,21.990.000đ,75.0,Giảm 20%,75.0,700.000đ,Laptop ASUS
Laptop ASUS Expertbook B1402CBA-NK2669W,https://cellphones.com.vn/laptop-asus-expertbook-b1402cba-nk2669w.html,13.990.000đ,76,76.0,19.990.000đ,76.0,Giảm 30%,76.0,560.000đ,Laptop ASUS
Laptop ASUS ROG Zephyrus G16 GA605WI-QR090WS,https://cellphones.com.vn/laptop-asus-rog-zephyrus-g16-ga605wi-qr090ws.html,77.990.000đ,77,77.0,81.990.000đ,77.0,Giảm 5%,77.0,800.000đ,Laptop ASUS
Laptop ASUS ROG Strix G16 G614JU-N3135W,https://cellphones.com.vn/laptop-asus-rog-strix-g16-g614ju-n3135w.html,29.990.000đ,78,78.0,39.990.000đ,78.0,Giảm 25%,78.0,800.000đ,Laptop ASUS
MacBook Air M3 13 inch 2024 16GB - 512GB | Chính hãng Apple Việt Nam,https://cellphones.com.vn/macbook-air-m3-13-inch-2024-16gb-512gb.html,36.490.000đ,79,79.0,37.990.000đ,79.0,Giảm 4%,79.0,500.000đ,MacBook Air
Laptop Lenovo IdeaPad Slim 3 14IAH8 83EQ0004VN,https://cellphones.com.vn/laptop-lenovo-ideapad-slim-3-14iah8-83eq0004vn.html,12.490.000đ,80,80.0,14.990.000đ,80.0,Giảm 17%,80.0,500.000đ,Laptop Lenovo
Laptop Lenovo IdeaPad Slim 5 15IRU9 83D00003VN,https://cellphones.com.vn/laptop-lenovo-ideapad-slim-5-15iru9-83d00003vn.html,19.490.000đ,81,81.0,22.690.000đ,81.0,Giảm 14%,81.0,780.000đ,Laptop Lenovo
Laptop Lenovo IdeaPad Slim 3 15 ABR8 82XM00EJVN,https://cellphones.com.vn/laptop-lenovo-ideapad-slim-3-15-abr8-82xm00ejvn.html,12.390.000đ,82,82.0,14.390.000đ,82.0,Giảm 14%,82.0,496.000đ,Laptop Lenovo
MacBook Pro 14 inch M3 2023 (8 CPU - 10 GPU 16GB 512GB),https://cellphones.com.vn/macbook-pro-14-inch-m3-2023-16gb-512gb.html,44.990.000đ,83,,,,,83.0,500.000đ,MacBook Pro
Laptop ASUS Vivobook 14 X1404ZA-NK389W,https://cellphones.com.vn/laptop-asus-vivobook-14-x1404za-nk389w.html,15.990.000đ,84,84.0,17.990.000đ,84.0,Giảm 11%,84.0,640.000đ,Laptop ASUS
Laptop Lenovo IdeaPad Slim 3 15ABR8 82XM00EHVN,https://cellphones.com.vn/laptop-lenovo-ideapad-slim-3-15abr8-82xm00ehvn.html,14.490.000đ,85,85.0,16.390.000đ,85.0,Giảm 12%,85.0,580.000đ,Laptop Lenovo
Laptop Lenovo V14 G4 IRU 83A000BGVN,https://cellphones.com.vn/laptop-lenovo-v14-g4-iru-83a000bgvn.html,13.490.000đ,86,86.0,14.590.000đ,86.0,Giảm 8%,86.0,540.000đ,Laptop Lenovo
Laptop Lenovo Gaming Legion 5 16IRX9 83DG004YVN,https://cellphones.com.vn/laptop-lenovo-gaming-legion-5-16irx9-83dg004yvn.html,39.990.000đ,87,87.0,43.990.000đ,87.0,Giảm 9%,87.0,800.000đ,Laptop Lenovo
Laptop ASUS ExpertBook B1 B1502CBA-NJ1261W,https://cellphones.com.vn/laptop-asus-expertbook-b1-b1502cba-nj1261w.html,9.490.000đ,88,88.0,14.590.000đ,88.0,Giảm 35%,88.0,380.000đ,Laptop ASUS
Laptop Gaming Acer Nitro V ANV15-51-55CA,https://cellphones.com.vn/laptop-gaming-acer-nitro-v-anv15-51-55ca.html,24.790.000đ,89,89.0,27.990.000đ,89.0,Giảm 11%,89.0,800.000đ,Laptop Gaming
Laptop Lenovo LOQ 15IRX9 83DV00UFVN,https://cellphones.com.vn/laptop-lenovo-loq-15irx9-83dv00ufvn.html,33.990.000đ,90,90.0,35.990.000đ,90.0,Giảm 6%,90.0,800.000đ,Laptop Lenovo
Laptop Acer Aspire Lite AL16-51P-55N7 NX.KX0SV.001,https://cellphones.com.vn/laptop-acer-aspire-lite-al16-51p-55n7.html,13.490.000đ,91,91.0,14.990.000đ,91.0,Giảm 10%,91.0,540.000đ,Laptop Acer
Apple MacBook Air M2 2022 8GB 512GB I Chính hãng Apple Việt Nam,https://cellphones.com.vn/macbook-air-m2-2022-512gb.html,29.290.000đ,92,92.0,39.990.000đ,92.0,Giảm 27%,92.0,500.000đ,Apple MacBook
Laptop MSI Modern 14 C13M-607VN,https://cellphones.com.vn/laptop-msi-modern-14-c13m-607vn.html,14.990.000đ,93,93.0,21.490.000đ,93.0,Giảm 30%,93.0,600.000đ,Laptop MSI
Laptop Dell Vostro 3520 F0V0V256 - Nhập khẩu chính hãng,https://cellphones.com.vn/laptop-dell-vostro-3520-f0v0v256.html,12.490.000đ,94,94.0,13.990.000đ,94.0,Giảm 11%,94.0,500.000đ,Laptop Dell
Laptop Acer Aspire 3 Spin A3SP14-31PT-387Z,https://cellphones.com.vn/laptop-acer-aspire-3-spin-14-a3sp14-31pt-387z.html,9.490.000đ,95,95.0,11.990.000đ,95.0,Giảm 21%,95.0,380.000đ,Laptop Acer
Laptop ASUS VivoBook S 16 OLED S5606MA-MX051W,https://cellphones.com.vn/laptop-asus-vivobook-s-16-oled-s5606ma-mx051w.html,26.890.000đ,96,96.0,29.990.000đ,96.0,Giảm 10%,96.0,800.000đ,Laptop ASUS
Laptop Lenovo Ideapad Slim 5 14IMH9 83DA001NVN,https://cellphones.com.vn/laptop-lenovo-ideapad-slim-5-14imh9-83da001nvn.html,21.490.000đ,97,97.0,21.990.000đ,97.0,Giảm 2%,97.0,800.000đ,Laptop Lenovo
Laptop HP Pavilion 15-EG2083TU 7C0W9PA,https://cellphones.com.vn/laptop-hp-pavilion-15-eg2083tu-7c0w9pa.html,15.490.000đ,98,98.0,19.790.000đ,98.0,Giảm 22%,98.0,620.000đ,Laptop HP
Laptop MSI Katana 15 B13VFK-676VN,https://cellphones.com.vn/laptop-msi-katana-15-b13vfk-676vn.html,27.990.000đ,99,99.0,36.990.000đ,99.0,Giảm 24%,99.0,800.000đ,Laptop MSI
Laptop ASUS VivoBook S 14 FLIP TP3402VA-LZ118W,https://cellphones.com.vn/laptop-asus-vivobook-s-14-flip-tp3402va-lz118w.html,22.890.000đ,100,100.0,26.490.000đ,100.0,Giảm 14%,100.0,800.000đ,Laptop ASUS
Laptop MSI Modern 14 C7M-221VN,https://cellphones.com.vn/laptop-msi-modern-14-c7m-221vn.html,10.990.000đ,101,101.0,11.790.000đ,101.0,Giảm 7%,101.0,440.000đ,Laptop MSI
Laptop Lenovo ThinkBook 14 G6 IRL 21KG00RDVN,https://cellphones.com.vn/laptop-lenovo-thinkbook-14-g6-irl-21kg00rdvn.html,16.990.000đ,102,102.0,19.990.000đ,102.0,Giảm 15%,102.0,680.000đ,Laptop Lenovo
Laptop HP 15-FD0237TU 9Q972PA,https://cellphones.com.vn/laptop-hp-15-fd0237tu.html,16.290.000đ,103,103.0,18.390.000đ,103.0,Giảm 11%,103.0,652.000đ,Laptop HP
Laptop ASUS TUF Gaming A15 FA507NU-LP140W,https://cellphones.com.vn/laptop-asus-tuf-gaming-a15-fa507nu-lp140w.html,22.990.000đ,104,,,,,104.0,230.000đ,Laptop ASUS
Laptop ASUS Vivobook 14 OLED A1405VA-KM257W,https://cellphones.com.vn/laptop-asus-vivobook-14-oled-a1405va-km257w.html,17.190.000đ,105,105.0,20.990.000đ,105.0,Giảm 18%,105.0,688.000đ,Laptop ASUS
MacBook Air M3 13 inch 2024 8GB - 512GB | Chính hãng Apple Việt Nam,https://cellphones.com.vn/macbook-air-m3-13-inch-2024-8gb-512gb.html,31.490.000đ,106,106.0,32.990.000đ,106.0,Giảm 5%,106.0,500.000đ,MacBook Air
Laptop MSI Modern 14 C13M-458VN,https://cellphones.com.vn/laptop-msi-modern-14-c13m-458vn.html,11.990.000đ,107,107.0,17.990.000đ,107.0,Giảm 33%,107.0,480.000đ,Laptop MSI
Laptop Lenovo IdeaPad Slim 5 14APH9 83DB003BVN,https://cellphones.com.vn/laptop-lenovo-ideapad-slim-5-14aph9-83db003bvn.html,21.490.000đ,108,108.0,23.190.000đ,108.0,Giảm 7%,108.0,800.000đ,Laptop Lenovo
Laptop Dell Inspiron 15 3520 71045026,https://cellphones.com.vn/laptop-dell-inspiron-15-3520-71045026.html,16.490.000đ,109,109.0,16.990.000đ,109.0,Giảm 3%,109.0,660.000đ,Laptop Dell
MacBook Air 15 inch M2 2023 8GB 256GB sạc 70W | Chính hãng Apple Việt Nam,https://cellphones.com.vn/macbook-air-15-inch-m2-2023-sac-70w.html,27.490.000đ,110,110.0,32.990.000đ,110.0,Giảm 17%,110.0,500.000đ,MacBook Air
Laptop Lenovo Yoga Slim 7 14IMH9 83CV001UVN,https://cellphones.com.vn/laptop-lenovo-yoga-slim-7-14imh9-83cv001uvn.html,29.990.000đ,111,111.0,30.990.000đ,111.0,Giảm 3%,111.0,800.000đ,Laptop Lenovo
